Feature,Mean_Error,Contribution_Pct
Pressure (hPa),1.4241411535352981,10.034738738755463
WindSpeed (km/h),1.3968419449848208,9.84238391149778
Organic_carbon,1.1723196636252418,8.260362053004467
Sulfate,1.1515466753202492,8.113992074195583
Turbidity,1.0445249784805954,7.359899149840246
DayOfWeek,1.0135936767275613,7.141951981351505
Chloramines,0.9973379039595216,7.027411065011213
pH,0.9396408284414671,6.620867740722979
Trihalomethanes,0.9357140763974641,6.593199183603041
Solids,0.8910157606680946,6.278247312931249
Conductivity,0.8142482151079635,5.737330240631836
Month,0.5315577852685373,3.745445798318503
Target_Rainfall (mm),0.4777233848148435,3.3661195339455343
Rainfall_pred (mm),0.4512896140485528,3.1798627272649567
Hardness,0.3796701283519579,2.6752197529465045
Temperature (°C),0.20442979255486962,1.4404467939246643
Temperature_pred (°C),0.17578643664126245,1.238620877665788
refinedhardnessforecast,0.07092506689166873,0.4997499823103107
Hardness_prev_day,0.06711693436927935,0.47291723834397453
Humidity (%),0.05268591522023174,0.3712338437343961
